Team,Division,Conference,NHLTeamId,NHLabbr,,,,,
Anaheim Ducks,Pacific Division,Western Conference,24,ANA,,,,,
Arizona Coyotes,Pacific Division,Western Conference,53,ARI,,,,,
Boston Bruins,Atlantic Division,Eastern Conference,6,BOS,,,,,
Buffalo Sabres,Atlantic Division,Eastern Conference,7,BUF,,,,,
Calgary Flames,Pacific Division,Western Conference,20,CGY,,,,,
Carolina Hurricanes,Metropolitan Division,Eastern Conference,12,CAR,,,,,
Chicago Blackhawks,Central Division,Western Conference,16,CHI,,,,,
Colorado Avalanche,Central Division,Western Conference,21,COL,,,,,
Columbus Blue Jackets,Metropolitan Division,Eastern Conference,29,CBJ,,,,,
Dallas Stars,Central Division,Western Conference,25,DAL,,,,,
Detroit Red Wings,Atlantic Division,Eastern Conference,17,DET,,,,,
Edmonton Oilers,Pacific Division,Western Conference,22,EDM,,,,,
Florida Panthers,Atlantic Division,Eastern Conference,13,FLA,,,,,
Los Angeles Kings,Pacific Division,Western Conference,26,LAK,,,,,
Minnesota Wild,Central Division,Western Conference,30,MIN,,,,,
Montreal Canadiens,Atlantic Division,Eastern Conference,8,MTL,,,,,
Nashville Predators,Central Division,Western Conference,18,NSH,,,,,
New Jersey Devils,Metropolitan Division,Eastern Conference,1,NJD,,,,,
New York Islanders,Metropolitan Division,Eastern Conference,2,NYI,,,,,
New York Rangers,Metropolitan Division,Eastern Conference,3,NYR,,,,,
Ottawa Senators,Atlantic Division,Eastern Conference,9,OTT,,,,,
Philadelphia Flyers,Metropolitan Division,Eastern Conference,4,PHI,,,,,
Pittsburgh Penguins,Metropolitan Division,Eastern Conference,5,PIT,,,,,
San Jose Sharks,Pacific Division,Western Conference,28,SJS,,,,,
St. Louis Blues,Central Division,Western Conference,19,STL,,,,,
Tampa Bay Lightning,Atlantic Division,Eastern Conference,14,TBL,,,,,
Toronto Maple Leafs,Atlantic Division,Eastern Conference,10,TOR,,,,,
Vancouver Canucks,Pacific Division,Western Conference,23,VAN,,,,,
Vegas Golden Knights,Pacific Division,Western Conference,54,VGK,,,,,
Washington Capitals,Metropolitan Division,Eastern Conference,15,WSH,,,,,
Winnipeg Jets,Central Division,Western Conference,52,WPG,,,,,
Quebec Patriotes,Atlantic Division,Eastern Conference,${#},QC,,,,,
